ID,Bear Number,Tick Species ,Tick Sex,Pooled Ticks,Engorgment,POW,Lyme,Test Run,Tick Collection Year,County ,State
1,86,Ixodes scapularis,Female,1,Semi-engorged,Negative ,Negative ,6/11/18,2017,Sussex,NJ
2,86,Ixodes scapularis,Male,1,Unengorged,Negative ,Negative ,6/11/18,2017,Sussex,NJ
3,86,Ixodes scapularis,Female,1,Unengorged,Negative ,Negative ,6/11/18,2017,Sussex,NJ
4,92,Ixodes scapularis,Female,1,Unengorged,Negative ,Negative ,6/11/18,2017,Sussex,NJ
5,111,Ixodes scapularis,Female,1,Unengorged,Negative ,Positive,6/11/18,2017,Sussex,NJ
6,111,Ixodes scapularis,Male,1,Unengorged,Negative ,Negative ,6/20/18,2017,Sussex,NJ
7,291,Ixodes scapularis,Female,1,Unengorged,Negative ,Negative ,6/20/18,2017,Sussex,NJ
8,453,Ixodes scapularis,Female,1,Semi-engorged,Negative ,Negative ,6/20/18,2017,Sussex,NJ
9,453,Ixodes scapularis,Female,1,Semi-engorged,Negative ,Negative ,6/20/18,2017,Sussex,NJ
10,453,Ixodes scapularis,Female,1,Fully engorged,Negative ,Negative ,6/20/18,2017,Sussex,NJ
11,10,Ixodes scapularis,Female,1,Semi-engorged,Negative ,Negative ,6/20/18,2017,Sussex,NJ
12,10,Ixodes scapularis,Female,5,Semi-engorged,Negative ,Positive,6/20/18,2017,Sussex,NJ
13,32,Ixodes scapularis,Female,1,Semi-engorged,Negative ,Positive,6/20/18,2017,Sussex,NJ
14,32,Ixodes scapularis,Female,5,Semi-engorged,Negative ,Negative ,6/20/18,2017,Sussex,NJ
15,605,Ixodes scapularis,Female,5,Semi-engorged,Negative ,Positive,6/20/18,2017,Sussex,NJ
16,318,Ixodes scapularis,Female,1,Fully engorged,Negative ,Negative ,6/20/18,2017,Sussex,NJ
17,318,Ixodes scapularis,Female,1,Semi-engorged,Negative ,Negative ,6/20/18,2017,Sussex,NJ
18,318,Ixodes scapularis,Female,1,Unengorged,Negative ,Positive,6/20/18,2017,Sussex,NJ
19,106,Ixodes scapularis,Male,1,Unengorged,Negative ,Negative ,6/20/18,2017,Sussex,NJ
20,106,Ixodes scapularis,Male,1,Unengorged,Negative ,Negative ,6/20/18,2017,Sussex,NJ
21,103,Ixodes scapularis,Female,1,Semi-engorged,Negative ,Positive,6/20/18,2017,Sussex,NJ
22,69,Ixodes scapularis,Female,1,Unengorged,Negative ,Positive,6/20/18,2017,Warren,NJ
23,69,Ixodes scapularis,Female,1,Unengorged,Negative ,Positive,6/20/18,2017,Warren,NJ
24,69,Ixodes scapularis,Male,1,Unengorged,Negative ,Negative ,6/20/18,2017,Warren,NJ
25,41,Ixodes scapularis,Female,1,Semi-engorged,Negative ,Positive,6/20/201,2017,Warren,NJ
26,41,Ixodes scapularis,Female,1,Semi-engorged,Negative ,Negative ,6/20/18,2017,Warren,NJ
27,41,Ixodes scapularis,Female,1,Semi-engorged,Negative ,Positive,6/20/18,2017,Warren,NJ
