ID ,Species,Female,Male,Nymphs,Larval,Date,Total Ticks,County ,State,,,,,,
616,Ixodes scapularis,2,0,0,0,October 2015,2,Hunterdon,NJ,,,,,,
633,Ixodes scapularis,8,1,0,0,October 2015,9,Hunterdon,NJ,,,,,,
14,Ixodes scapularis,3,0,0,0,October 2015,3,Morris,NJ,,,,,,
16,Ixodes scapularis,2,1,0,0,October 2015,3,Morris,NJ,,,,,,
11,Ixodes scapularis,1,0,0,0,October 2015,1,Sussex,NJ,,,,,,
12,Ixodes scapularis,1,0,0,0,October 2015,1,Sussex,NJ,,,,,,
13,Ixodes scapularis,1,1,0,0,October 2015,2,Sussex,NJ,,,,,,
18,Ixodes scapularis,1,1,0,0,October 2015,2,Sussex,NJ,,,,,,
22,Ixodes scapularis,2,0,0,0,October 2015,2,Sussex,NJ,,,,,,
28,Ixodes scapularis,4,1,0,0,October 2015,5,Sussex,NJ,,,,,,
30,Ixodes scapularis,1,1,0,0,October 2015,2,Sussex,NJ,,,,,,
31,Ixodes scapularis,1,1,0,0,October 2015,2,Sussex,NJ,,,,,,
34,Ixodes scapularis,1,1,0,0,October 2015,2,Sussex,NJ,,,,,,
35,Ixodes scapularis,1,0,0,0,October 2015,1,Sussex,NJ,,,,,,
39,Ixodes scapularis,2,0,0,0,October 2015,2,Sussex,NJ,,,,,,
41,Ixodes scapularis,1,0,0,0,October 2015,1,Sussex,NJ,,,,,,
15,Ixodes scapularis,2,0,0,0,October 2015,2,Warren,NJ,,,,,,
20,Ixodes scapularis,1,0,0,0,October 2015,1,Warren,NJ,,,,,,
21,Ixodes scapularis,1,0,0,0,October 2015,1,Warren,NJ,,,,,,
620,Ixodes scapularis,5,1,0,0,October 2015,6,Warren,NJ,,,,,,
622,Ixodes scapularis,7,1,0,0,October 2015,8,Warren,NJ,,,,,,
623,Ixodes scapularis,3,0,0,0,October 2015,3,Warren,NJ,,,,,,
624,Ixodes scapularis,2,0,0,0,October 2015,2,Warren,NJ,,,,,,
625,Ixodes scapularis,6,3,0,0,October 2015,9,Warren,NJ,,,,,,
627,Ixodes scapularis,2,0,0,0,October 2015,2,Warren,NJ,,,,,,
628,Ixodes scapularis,4,1,0,0,October 2015,5,Warren,NJ,,,,,,
630,Ixodes scapularis,1,0,0,0,October 2015,1,Warren,NJ,,,,,,
632,Ixodes scapularis,2,0,0,0,October 2015,2,Warren,NJ,,,,,,
617,Ixodes scapularis,3,1,0,0,October 2015,4,Hunterdon,NJ,,,,,,
618,Ixodes scapularis,2,1,0,0,October 2015,3,Hunterdon,NJ,,,,,,
